Float_num,PRES,DOXY_bottle,NITRATE_Vali,PH_IN_SITU_TOTAL_Vali,CHLA_Vali,CYCLE_NUMBER
4903622,3652.723,215.343,22.1145357,7.70385411,,1
4903622,2862.601,214.422,22.1370015,7.70530219,,1
4903622,2567.497,213.032,22.1418884,7.70526377,,1
4903622,2272.62,212.08,22.2395075,7.70280601,,1
4903622,2076.687,211.148,22.3019885,7.70224249,,1
4903622,1830.107,212.09,22.4816103,7.70010186,,1
4903622,1682.667,201.704,22.6143764,7.69695027,,1
4903622,1510.074,206.033,22.9872918,7.69214461,,1
4903622,1189.36,191.368,24.4672764,7.67147463,,1
4903622,991.269,166.549,26.7644628,7.64063484,,1
4903622,793.318,141.43,28.972643,7.60756222,,1
4903622,595.406,116.441,29.4801495,7.59671766,,1
4903622,447.247,110.714,25.9022438,7.64126623,,1
4903622,347.658,111.664,21.7289667,7.69797436,,1
4903622,248.737,118.122,16.634731,7.7691418,,1
4903622,124.533,173.884,2.03600534,7.96271521,,1
4903622,89.839,188.564,0.57712854,7.99959644,,1
4903622,70.03,210.245,0.06045408,8.04516019,0.4575,1
4903622,70.001,NA,NA,NA,,1
4903622,55.051,205.449,0,8.0700612,,1
4903622,39.957,194.255,0.0555842,8.09761248,,1
4903622,25.269,194.359,0.05265864,8.09430545,,1
4903622,15.359,194.768,0.03608093,8.09628097,,1
4903622,3.134,192.791,0.05070836,8.09855467,0.127,1
4903624,2375.185,218.11,21.9114851,7.7255543,,1
4903624,2075.905,215.22,22.0364593,7.70401116,,1
4903624,1880.018,215.102,22.2053521,7.70552426,,1
4903624,1682.515,211.676,22.4767589,7.70229122,,1
4903624,1486.286,207.69,22.8838784,7.6951487,,1
4903624,1289.52,197.35,23.5751571,7.68265296,,1
4903624,1091.569,188.638,26.0638275,7.65172149,,1
4903624,893.86,147.231,28.5233082,7.61811387,,1
4903624,695.967,122.629,29.6996715,7.59430908,,1
4903624,496.733,117.245,25.3630742,7.65247103,,1
4903624,397.161,123.659,21.0465215,7.70966581,,1
4903624,298.022,125.478,15.5620024,7.78632934,,1
4903624,198.779,153.399,7.48942423,7.89619722,,1
4903624,133.996,165.61,2.67685686,7.96227495,,1
4903624,100.164,182.643,0.55574446,8.03476429,0.615,1
4903624,100.193,NA,NA,NA,,1
4903624,84.592,190.111,0.00390028,8.05191896,,1
4903624,55.097,197.433,0.00682642,8.07723124,,1
4903624,30.036,194.266,,8.08753963,,1
4903624,20.109,194.512,0.00975292,8.08538543,,1
4903624,10.038,194.591,0.00585174,8.08706996,,1
4903624,4.379,195.088,NA,8.0833534,0.088,1
4903624,4.341,NA,NA,NA,,1
4903625,3.38,195.199,0.089752749,8.102268442,0.401,1
4903625,14.903,194.801,0.078996693,8.091091384,,1
4903625,34.266,198.669,0.091666779,8.085729409,,1
4903625,54.531,194.692,0.100440929,8.075598752,,1
4903625,64.737,194.065,0.115055095,8.073589789,,1
4903625,79.852,192.095,0.130651746,8.063427927,0.339,1
4903625,79.966,NA,NA,NA,,1
4903625,139.097,176.288,1.604841627,7.972416828,,1
4903625,248.386,126.199,18.3686969,7.74810164,,1
4903625,347.979,115.233,21.00421086,7.667484981,,1
4903625,466.594,117.5,26.32357182,7.613564143,,1
4903625,570.309,124.131,29.48765883,7.599021783,,1
4903625,718.143,144.602,24.75068401,7.611848017,,1
4903625,843.173,163.099,23.86700777,7.635767469,,1
4903625,1041.045,188.102,24.55073318,7.670828853,,1
4903625,1337.071,207.632,19.51889672,7.69218937,,1
4903625,1534.517,211.144,22.23809144,7.702936113,,1
4903625,1729.532,NA,18.94491193,7.703476122,,1
4903625,1928.859,214.203,21.78223388,7.704328353,,1
4903625,2125.576,215.808,21.68656767,7.70723161,,1
4903625,2321.833,216.456,19.02588071,7.707221718,,1
4903625,2518.8,215.92,20.1922384,7.706992546,,1
4903625,2714.853,216.16,18.86286718,7.70890633,,1
4903625,2927.088,219.654,20.69779595,7.709819174,,1
7901009,2001.181,211.406,22.74,7.938547629,,1
7901009,1600.191,208.311,23.33,7.944847958,,1
7901009,1201.973,183.471,25.41,7.921027008,,1
7901009,802.842,125.86,30.53,7.825628125,,1
7901009,654.115,130.17,28,7.825346837,,1
7901009,200.393,152.366,5.13,7.965428318,,1
7901009,150.239,169.686,1.86,7.989482491,,1
7901009,115.262,186.39,0.04,8.012396885,,1
7901009,75.704,199.965,0.01,8.030578927,,1
7901009,50.605,205.837,0,8.037565491,,1
7901009,25.608,192.987,0,8.022594985,,1
7901009,2.258,194.012,0.02,8.015944299,,1
